alg      instance      k  rep    v         
G        flat50-1      0  669    543       
G        flat50-1      0  670    539       
G        flat50-1      0  671    543       
G        flat50-1      0  672    543       
G        flat50-1      0  673    543       
G        flat50-1      0  674    542       
G        flat50-1      0  675    541       
G        flat50-1      0  676    542       
G        flat50-1      0  677    540       
G        flat50-1      0  678    542       
G        flat50-1      0  679    542       
G        flat50-1      0  680    540       
G        flat50-1      0  681    542       
G        flat50-1      0  682    543       
G        flat50-1      0  683    541       
G        flat50-1      0  684    540       
G        flat50-1      0  685    542       
G        flat50-1      0  686    540       
G        flat50-1      0  687    538       
G        flat50-1      0  688    541       
G        flat50-1      0  689    540       
G        flat50-1      0  690    540       
G        flat50-1      0  691    541       
G        flat50-1      0  692    540       
G        flat50-1      0  693    541       
G        flat50-1      0  694    543       
G        flat50-1      0  695    543       
G        flat50-1      0  696    539       
G        flat50-1      0  697    542       
G        flat50-1      0  698    541       
G        flat50-1      0  699    540       
G        flat50-1      0  700    540       
G        flat50-1      0  701    543       
G        flat50-1      0  702    541       
G        flat50-1      0  703    540       
G        flat50-1      0  704    541       
G        flat50-1      0  705    538       
G        flat50-1      0  706    541       
G        flat50-1      0  707    542       
G        flat50-1      0  708    540       
G        flat50-1      0  709    541       
G        flat50-1      0  710    541       
G        flat50-1      0  711    541       
G        flat50-1      0  712    539       
G        flat50-1      0  713    538       
G        flat50-1      0  714    542       
G        flat50-1      0  715    542       
G        flat50-1      0  716    540       
G        flat50-1      0  717    541       
G        flat50-1      0  718    543       
G        flat50-1      0  719    541       
G        flat50-1      0  720    541       
G        flat50-1      0  721    540       
G        flat50-1      0  722    539       
G        flat50-1      0  723    541       
G        flat50-1      0  724    541       
G        flat50-1      0  725    539       
G        flat50-1      0  726    542       
G        flat50-1      0  727    538       
G        flat50-1      0  728    542       
G        flat50-1      0  729    543       
G        flat50-1      0  730    540       
G        flat50-1      0  731    543       
G        flat50-1      0  732    541       
G        flat50-1      0  733    542       
G        flat50-1      0  734    542       
G        flat50-1      0  735    539       
G        flat50-1      0  736    539       
G        flat50-1      0  737    539       
G        flat50-1      0  738    542       
G        flat50-1      0  739    542       
G        flat50-1      0  740    542       
G        flat50-1      0  741    542       
G        flat50-1      0  742    541       
G        flat50-1      0  743    543       
G        flat50-1      0  744    541       
G        flat50-1      0  745    540       
G        flat50-1      0  746    540       
G        flat50-1      0  747    539       
G        flat50-1      0  748    541       
G        flat50-1      0  749    542       
G        flat50-1      0  750    542       
G        flat50-1      0  751    543       
G        flat50-1      0  752    540       
G        flat50-1      0  753    542       
G        flat50-1      0  754    542       
G        flat50-1      0  755    540       
G        flat50-1      0  756    542       
G        flat50-1      0  757    541       
G        flat50-1      0  758    542       
G        flat50-1      0  759    540       
G        flat50-1      0  760    542       
G        flat50-1      0  761    540       
G        flat50-1      0  762    543       
G        flat50-1      0  763    538       
G        flat50-1      0  764    542       
G        flat50-1      0  765    542       
G        flat50-1      0  766    542       
G        flat50-1      0  767    541       
G        flat50-1      0  768    543       
G        flat50-1      0  769    540       
G        flat50-1      0  770    540       
G        flat50-1      0  771    541       
G        flat50-1      0  772    540       
G        flat50-1      0  773    541       
G        flat50-1      0  774    540       
G        flat50-1      0  775    543       
G        flat50-1      0  776    541       
G        flat50-1      0  777    542       
G        flat50-1      0  778    539       
G        flat50-1      0  779    540       
G        flat50-1      0  780    542       
G        flat50-1      0  781    544       
G        flat50-1      0  782    540       
G        flat50-1      0  783    540       
G        flat50-1      0  784    540       
G        flat50-1      0  785    540       
G        flat50-1      0  786    540       
G        flat50-1      0  787    539       
G        flat50-1      0  788    540       
G        flat50-1      0  789    541       
G        flat50-1      0  790    542       
G        flat50-1      0  791    539       
G        flat50-1      0  792    541       
G        flat50-1      0  793    543       
G        flat50-1      0  794    543       
G        flat50-1      0  795    542       
G        flat50-1      0  796    543       
G        flat50-1      0  797    540       
G        flat50-1      0  798    542       
G        flat50-1      0  799    543       
G        flat50-1      0  800    542       
G        flat50-1      0  801    539       
G        flat50-1      0  802    541       
G        flat50-1      0  803    539       
G        flat50-1      0  804    540       
G        flat50-1      0  805    541       
G        flat50-1      0  806    541       
G        flat50-1      0  807    542       
G        flat50-1      0  808    540       
G        flat50-1      0  809    540       
G        flat50-1      0  810    541       
G        flat50-1      0  811    541       
G        flat50-1      0  812    541       
G        flat50-1      0  813    541       
G        flat50-1      0  814    538       
G        flat50-1      0  815    539       
G        flat50-1      0  816    540       
G        flat50-1      0  817    542       
G        flat50-1      0  818    541       
G        flat50-1      0  819    542       
G        flat50-1      0  820    543       
G        flat50-1      0  821    540       
G        flat50-1      0  822    543       
G        flat50-1      0  823    541       
G        flat50-1      0  824    542       
G        flat50-1      0  825    541       
G        flat50-1      0  826    541       
G        flat50-1      0  827    542       
G        flat50-1      0  828    541       
G        flat50-1      0  829    542       
G        flat50-1      0  830    541       
G        flat50-1      0  831    541       
G        flat50-1      0  832    543       
G        flat50-1      0  833    542       
G        flat50-1      0  834    541       
G        flat50-1      0  835    541       
G        flat50-1      0  836    539       
G        flat50-1      0  837    539       
G        flat50-1      0  838    542       
G        flat50-1      0  839    540       
G        flat50-1      0  840    543       
G        flat50-1      0  841    539       
G        flat50-1      0  842    542       
G        flat50-1      0  843    541       
G        flat50-1      0  844    542       
G        flat50-1      0  845    543       
G        flat50-1      0  846    542       
G        flat50-1      0  847    541       
G        flat50-1      0  848    542       
G        flat50-1      0  849    541       
G        flat50-1      0  850    540       
G        flat50-1      0  851    540       
G        flat50-1      0  852    541       
G        flat50-1      0  853    541       
G        flat50-1      0  854    540       
G        flat50-1      0  855    540       
G        flat50-1      0  856    541       
G        flat50-1      0  857    541       
G        flat50-1      0  858    541       
G        flat50-1      0  859    541       
G        flat50-1      0  860    541       
G        flat50-1      0  861    542       
G        flat50-1      0  862    538       
G        flat50-1      0  863    540       
G        flat50-1      0  864    540       
G        flat50-1      0  865    542       
G        flat50-1      0  866    540       
G        flat50-1      0  867    542       
G        flat50-1      0  868    541       
G        flat50-1      0  869    541       
G        flat50-1      0  870    539       
